"latitude","longitude","codePostal","nomVille","nomSport","ouvertureCovid"
48.80349,-3.44342,22700,"Perros-Guirec","",""
48.8241497,-3.4717716,22700,"Perros-Guirec","Cyclotourisme",""
48.351154,-2.007568,22630,"Le Quiou","Jeu de piste",""
48.45338,-2.04441,22100,"Dinan","Gymnastique","oui"
48.7229161,-3.5791244,22300,"Trédrez-Locquémeau","Catamaran#Dériveur#Kayak de mer#Planche à voile#Stand up paddle#Voile#Wing foil",""
48.7861876,-3.2231238,22220,"Tréguier","Jeu de piste","oui"
48.83235,-3.4862,22700,"Perros-Guirec","",""
48.4748162,-3.5728216,22780,"Plougras","","oui"
48.45449,-2.05598,22100,"Dinan","",""
48.62814,-2.36443,22240,"Fréhel","Cyclotourisme",""
48.8164321,-3.4543941,22700,"Perros-Guirec","Voile",""
48.510693,-2.8264837,22440,"Ploufragan","Pêche#Pêche en eau douce",""
48.81594,-3.45837,22700,"Perros-Guirec","",""
48.797139,-3.4303179,22700,"Perros-Guirec","Bouée tractée#Kite-surf",""
48.74508,-3.07178,22860,"Plourivo","Jeu de piste","oui"
48.71093,-2.96577,22580,"Lanloup","Jeu de piste","oui"
48.47342,-3.18789,22390,"Bourbriac","Jeu de piste","oui"
48.42938,-3.33245,22160,"Bulat-Pestivien","Jeu de piste","oui"
48.46007,-3.5208,22160,"Lohuec","Jeu de piste","oui"
48.8243327,-3.4985683,22730,"Trégastel","Cyclotourisme#VTT",""
48.3017151,-2.012249,22830,"Plouasne","",""
48.71679,-3.32327,22450,"Quemperven","",""
48.7721564,-3.5779498,22560,"Trébeurden","Cyclotourisme","oui"
48.73062,-3.45983,22300,"Lannion","Cyclotourisme#VTT",""
48.8233382,-3.3552596,22660,"Trévou-Tréguignec","Marche aquatique","oui"
48.51129,-2.33099,22130,"Landébia","",""
48.62914,-2.46637,22430,"Erquy","Pêche#Pêche sous-marine#Plongée","oui"
48.81443,-3.44756,22700,"Perros-Guirec","Yoga / Bien-être",""
48.61512,-3.07594,22200,"Pommerit-le-Vicomte","Equitation","oui"
48.8364155,-3.4803967,22700,"Perros-Guirec","Plongée",""
48.6016971,-2.8277515,22520,"Binic-Étables-sur-Mer","",""
48.79106,-3.10783,22740,"Lézardrieux","",""
48.60442,-3.02133,22290,"Goudelin","Jeu de piste","oui"
48.8077507,-3.3738809,22660,"Trélévern","Natation",""
48.5117207,-2.762204,22000,"Saint-Brieuc","Jeu de piste",""
48.84583,-3.00058,22870,"Île-de-Bréhat","Tennis",""
48.81554,-3.44359,22700,"Perros-Guirec","Yoga / Bien-être",""
48.6091885,-3.4746159,22420,"Plouaret","Basket#Football#Handball#Multisport#Roller#Tennis","oui"
